id,product_id,batch_number,manufacture_date,photo_path,color_check_result,comment,created_at,avg_r,avg_g,avg_b,avg_lab,label,rus_color_name
79,73,68,2025-07-03,pictures/1751631029574_73_68.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-04T12:10:35.701819,174,170,157,"[69.59927786144617, -0.8913166066474298, 7.199893983543104]",,Облачно
80,69,51,2025-07-04,pictures/1751631179506_69_51.jpg,не соответствует,,2025-07-04T12:13:02.879239,173,170,153,"[69.42220798247347, -1.9426534596060363, 9.142304691288118]",,Бутон
81,3,35,2025-07-03,pictures/1751631338260_3_35.jpg,не соответствует,,2025-07-04T12:15:40.968867,177,182,172,"[73.40357213759, -3.6001390908992903, 4.469513920642276]",,Серебряная фольга
82,96,89,2025-07-04,pictures/1751632409293_96_89.jpg,не соответствует,,2025-07-04T12:33:33.556356,176,175,166,"[71.31214705482512, -1.2848400436391572, 4.727310031137355]",,Серебряная чаша
83,78,97,2025-07-02,pictures/1751633236430_78_97.jpg,не соответствует,,2025-07-04T12:47:19.329439,172,173,164,"[70.41217558876197, -2.0110281542713992, 4.488423760278892]",,Темно-серый
84,50,118,2025-07-02,pictures/1751633324350_50_118.jpg,не соответствует,,2025-07-04T12:48:48.216209,163,167,160,"[67.99261966520962, -2.7419887955814626, 3.112018669199701]",,Дельта
85,50,119,2025-07-03,pictures/1751633631396_50_119.jpg,не соответствует,,2025-07-04T12:53:54.376602,159,161,154,"[65.89924170812992, -2.034181229133014, 3.3818133147897056]",,Звездная Пыль
86,73,73,2025-07-08,pictures/1751983148958_73_73.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-08T13:59:10.112351,174,178,146,"[71.4970940154038, -6.986013778685796, 15.913078768395383]",,Серо-коричневый
87,56,31,2025-07-08,pictures/1751983334966_56_31.jpg,не соответствует,,2025-07-08T14:02:15.288411,178,174,168,"[71.25820298027394, 0.3344023917144501, 3.570086806406536]",,Серебряная фольга
88,67,112,2025-07-07,pictures/1751983499363_67_112.jpg,не соответствует,,2025-07-08T14:04:59.448018,150,189,152,"[72.9880704370901, -20.328720385581367, 14.49513007277159]",,Темно-зеленый цвет морской волны
89,61,2,2025-07-04,pictures/1751983621392_61_2.jpg,не соответствует,,2025-07-08T14:07:01.705659,147,191,168,"[73.73447937654998, -19.314356131357624, 6.859731968483507]",,Летний зеленый
90,61,2,2025-07-04,pictures/1751983712098_61_2.jpg,не соответствует,,2025-07-08T14:08:31.782737,187,187,179,"[75.67481628273138, -1.4506019955100036, 4.0383158662220975]",,Прилив
91,75,10,2025-07-04,pictures/1751983803367_75_10.jpg,не соответствует,,2025-07-08T14:10:05.280587,187,184,179,"[74.8882407695892, 0.15034816121256567, 2.8992022306905563]",,Прилив
92,67,110,2025-07-04,pictures/1751983869283_67_110.jpg,не соответствует,,2025-07-08T14:11:09.518929,188,185,181,"[75.28022774964094, 0.32928794998632327, 2.3892434039239907]",,Розовый лебедь
93,78,98,2025-07-05,pictures/1751983944832_78_98.jpg,соответствует,,2025-07-08T14:12:25.299626,186,183,176,"[74.47076146387063, -0.20556240950303506, 3.918965355009485]",,Прилив
94,73,69,2025-07-05,pictures/1751984039951_73_69.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-08T14:14:00.053475,186,180,173,"[73.60956557808703, 0.8745704645432006, 4.311123118894011]",,Нобелевский
95,81,11,2025-07-05,pictures/1751984173780_81_11.jpg,"Нет цветов с подстрокой: ""светло-бежевый""",,2025-07-08T14:16:14.446647,187,183,180,"[74.65244811423307, 0.8654426346645927, 2.0120463879583106]",,Розовый лебедь
96,68,41,2025-07-06,pictures/1751984270911_68_41.jpg,не соответствует,,2025-07-08T14:17:50.773401,186,183,180,"[74.5727985085302, 0.5105534548677237, 1.8864602123725982]",,Розовый лебедь
97,72,56,2025-07-05,pictures/1751984343125_72_56.jpg,не соответствует,,2025-07-08T14:19:03.090863,183,179,175,"[73.15621870133748, 0.6891245316336669, 2.5304589141192935]",,Нобелевский
98,1,38,2025-07-07,pictures/1751984443383_1_38.jpg,соответствует,,2025-07-08T14:20:43.744354,188,184,180,"[74.99342043195715, 0.6850473741741303, 2.517159147315362]",,Розовый лебедь
99,73,70,2025-07-05,pictures/1751984521304_73_70.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-08T14:22:01.381375,191,188,184,"[76.37727345842232, 0.3280674372632686, 2.3819093153899296]",,Семена хлопка
100,55,24,2025-06-27,pictures/1751984624482_55_24.jpg,соответствует,,2025-07-08T14:23:44.271575,190,190,183,"[76.79574550242776, -1.2684965177660046, 3.5209627567999613]",,Семена хлопка
101,71,72,2025-07-06,pictures/1751984721804_71_72.jpg,не соответствует,,2025-07-08T14:25:22.286978,186,184,178,"[74.78355695099498, -0.38450278085894185, 3.282144962755562]",,Прилив
102,67,111,2025-07-06,pictures/1751984791651_67_111.jpg,не соответствует,,2025-07-08T14:26:31.702534,187,184,180,"[74.91381446007492, 0.32970107212254574, 2.3917175837241844]",,Розовый лебедь
103,62,15,2025-07-18,pictures/1753097232594_62_15.jpg,не соответствует,,2025-07-21T11:27:14.941613,172,180,173,"[72.51517780787884, -4.116875068011671, 2.5888818860966945]",,Серебряная фольга
104,78,109,2025-07-21,pictures/1753108851041_78_109.jpg,соответствует,,2025-07-21T14:40:54.345859,158,159,146,"[65.07409689353028, -2.7596743704053073, 6.653476794989466]",,Железо
105,95,50,2025-07-20,pictures/1753108917702_95_50.jpg,не соответствует,,2025-07-21T14:42:00.874388,172,175,165,"[70.97229746602883, -2.9075835052065346, 4.746369217869351]",,Серебряная чаша
106,96,96,2025-07-20,pictures/1753109017245_96_96.jpg,не соответствует,,2025-07-21T14:43:39.685219,181,179,162,"[72.67578405464367, -2.3009699619789825, 8.928242760097982]",,Кочевник
107,95,51,2025-07-21,pictures/1753109096623_95_51.jpg,соответствует,,2025-07-21T14:44:58.798237,184,187,177,"[75.3923876026576, -2.873339700709854, 4.686852188743229]",,Зелёная весна
108,91,25,2025-07-20,pictures/1753109188432_91_25.jpg,не соответствует,,2025-07-21T14:46:31.390587,167,170,160,"[69.1140724331, -2.9225863276599595, 4.772533882259222]",,Бутон
109,92,43,2025-07-18,pictures/1753109293243_92_43.jpg,соответствует,,2025-07-21T14:48:16.560777,171,172,163,"[70.04071445233294, -2.013027187559413, 4.493340025848158]",,Темно-серый
110,78,108,2025-07-18,pictures/1753109425374_78_108.jpg,не соответствует,,2025-07-21T14:50:27.631071,175,176,165,"[71.47429202510052, -2.3622653173978603, 5.500121443049855]",,Серебряная чаша
111,1,41,2025-07-17,pictures/1753109737837_1_41.jpg,не соответствует,,2025-07-21T14:55:40.784661,161,159,147,"[65.34173430249042, -1.4668058513784832, 6.510339594825765]",,Железо
112,95,49,2025-07-18,pictures/1753109819479_95_49.jpg,не соответствует,,2025-07-21T14:57:02.113698,167,168,160,"[68.57619966564883, -1.839827009626649, 3.996026343953485]",,Дельта
113,60,6,2025-07-14,pictures/1753109911559_60_6.jpg,не соответствует,,2025-07-21T14:58:33.810173,167,174,168,"[70.39587771617083, -3.600894553949019, 2.212209203376858]",,Темно-серый
